T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
27.304,26.457,26.487,28.036,26.407,26.3,26.256,26.217,25.203,27.695,27.744,28.124,28.189,27.696,29.192,20.813,21.101,26.972,27.281,19.429
27.296,26.553,26.457,28.022,26.426,26.302,26.27,26.242,25.233,27.754,27.78,28.146,28.192,27.669,29.247,20.799,21.035,27.016,27.289,19.464
27.313,26.52,26.481,28.071,26.467,26.324,26.319,26.283,25.254,27.768,27.788,28.192,28.243,27.734,29.266,20.766,21.032,27.04,27.324,19.484
27.351,26.558,26.495,28.057,26.462,26.338,26.316,26.321,25.279,27.779,27.823,28.238,28.284,27.775,29.296,20.775,21.076,27.065,27.368,19.514
27.359,26.544,26.498,28.114,26.481,26.362,26.371,26.318,25.29,27.831,27.856,28.26,28.295,27.753,29.35,20.799,21.04,27.106,27.384,19.497
27.348,26.607,26.519,28.134,26.492,26.373,26.444,26.323,25.317,27.858,27.872,28.276,28.336,27.835,29.361,20.808,21.076,27.125,27.398,19.44
27.392,26.577,26.59,28.15,26.502,26.395,26.452,26.356,25.344,27.885,27.891,28.303,28.385,27.851,29.413,20.742,21.032,27.136,27.43,19.384
27.408,26.577,26.576,28.136,26.524,26.392,26.482,26.397,25.361,27.937,27.927,28.331,28.396,27.859,29.443,20.736,20.991,27.179,27.447,19.39
27.402,26.634,26.579,28.15,26.532,26.411,26.575,26.402,25.374,27.953,27.929,28.363,28.456,27.897,29.467,20.739,20.98,27.22,27.482,19.442
27.408,26.637,26.636,28.223,26.549,26.444,26.61,26.454,25.404,27.983,27.968,28.401,28.48,27.935,29.511,20.753,21.051,27.22,27.498,19.517
27.46,26.637,26.62,28.204,26.568,26.477,26.635,26.49,25.45,28.019,27.984,28.434,28.516,27.944,29.538,20.772,21.092,27.264,27.501,19.453
27.5,26.678,26.642,28.245,26.6,26.449,26.686,26.506,25.472,28.046,28.03,28.475,28.538,27.974,29.62,20.772,21.101,27.307,27.545,19.442
27.561,26.706,26.747,28.299,26.651,26.511,26.74,26.553,25.521,28.093,28.049,28.522,28.577,28.017,29.636,20.732,21.047,27.302,27.563,19.419
27.619,26.766,26.763,28.364,26.699,26.551,26.82,26.594,25.572,28.125,28.091,28.531,28.656,28.055,29.674,20.762,21.115,27.298,27.601,19.422
27.635,26.889,26.747,28.371,26.727,26.572,26.845,26.598,25.62,28.167,28.119,28.596,28.65,28.053,29.715,20.773,21.071,27.371,27.633,19.361
27.684,26.872,26.809,28.377,26.773,26.602,26.927,26.65,25.636,28.227,28.157,28.607,28.715,28.137,29.761,20.834,21.087,27.406,27.671,19.408
